author_id,username,name,description,followers_count,following_count,tweet_count,created_at,party,start,end
19438957,baerbelbas,Bärbel Bas,Duisburgerin|Bundestagsabgeordnete| @spdbt|,18452,2763,7614,2009-01-24 09:39:46+00:00,SPD,2017-10-24 00:00:00,2021-10-26 00:00:00
19177808,Uwe_Schulz_AfD,"Uwe Schulz, MdB",Als Mitglied des Deutschen Bundestages stehe ich für eine Beschleunigung des längst überfälligen Digitalisierungsprozesses.,1529,713,635,2009-01-19 09:02:11+00:00,AFD,2017-10-24 00:00:00,2021-10-26 00:00:00
19108766,cem_oezdemir,Cem Özdemir,Direkt gewählter Bundestagsabgeordneter für Stuttgart & Bundesminister für Ernährung und Landwirtschaft,348281,1396,14620,2009-01-17 12:30:36+00:00,Alliance 90/The Greens,2017-10-24 00:00:00,2021-10-26 00:00:00
19108071,HBraun,Helge Braun,Bundestagsabgeordneter für Gießen/Alsfeld,38822,835,4200,2009-01-17 11:45:46+00:00,CDU,2017-10-24 00:00:00,2021-10-26 00:00:00
18189342,f_schaeffler,Frank Schäffler,"FDP - MdB „Es ist eine der Hauptaufgaben des Wettbewerbs, zu zeigen, welche Pläne falsch sind.“ F.A. von Hayek",25429,5653,9638,2008-12-17 14:10:38+00:00,FDP,2017-10-24 00:00:00,2021-10-26 00:00:00
18103366,MariaKlSchmeink,Maria Klein-Schmeink *Impfen schützt*,"Grüne MdB, stellvertretende Fraktionsvorsitzende, engagiert für  Gesundheit und Pflege, Wissenschaft und offene Gesellschaftspolitik,  begeistert von Münster",8407,1373,17294,2008-12-13 19:27:20+00:00,Alliance 90/The Greens,2017-10-24 00:00:00,2021-10-26 00:00:00
17960911,smuellermdb,Stefan Müller,Parlamentarischer Geschäftsführer der @csu_bt. MdB für den Wahlkreis Erlangen.,8829,362,2419,2008-12-08 11:34:51+00:00,CSU,2017-10-24 00:00:00,2021-10-26 00:00:00
17870195,K_SA,Kordula Schulz-Asche 🇪🇺🇺🇦,Mitglied des Deutschen Bundestag (MdB) bei @GrueneBundestag. 🌻,7722,2240,32335,2008-12-04 15:40:59+00:00,Alliance 90/The Greens,2017-10-24 00:00:00,2021-10-26 00:00:00
17752770,KonstantinNotz,Konstantin v. Notz,- Stellv. Fraktionsvorsitzender - Vorsitzender des Parlamentarischen Kontrollgremiums PKGr - Mitglied des Innenausschusses,90948,3512,28648,2008-11-30 11:20:58+00:00,Alliance 90/The Greens,2017-10-24 00:00:00,2021-10-26 00:00:00
17561226,torstenherbst,Torsten Herbst MdB,Parlamentarischer Geschäftsführer @fdpbt | Mitglied im Haushaltsausschuss @Bundestag | Bundesvorstand @fdp | Schatzmeister @fdpsachsen,3748,517,2253,2008-11-22 19:02:47+00:00,FDP,2017-10-24 00:00:00,2021-10-26 00:00:00
17535941,christianduerr,Christian Dürr,Fraktionsvorsitzender der @fdpbt,9696,1203,2533,2008-11-21 13:20:23+00:00,FDP,2017-10-24 00:00:00,2021-10-26 00:00:00
